企业,发布时间,模型名称,参数规模 / 类型,功能简要说明
OpenAI,2022-01-27,InstructGPT,指令微调模型,通过人类反馈RLHF对语言模型进行对齐，使其更好地遵循指令。
OpenAI,2022-09-21,Whisper,语音识别模型,接近人类水平的英语语音识别鲁棒性和准确性。
OpenAI,2022年11月,GPT-3.5 (ChatGPT),175B,标志生成式 AI 进入公众视野，开启了生成式AI的热潮。
阿里巴巴,2023-05,MOSS,开源对话模型,复旦大学开发，中国首个带插件增强的开源对话语言模型。
阿里巴巴,2023-06,Baichuan-7B/13B,7B/13B 开源模型,支持中英文的双语模型，采用 Apache-2.0 协议开源。
xAI,2023年11月,Grok-1,314B (MoE),集成X平台实时数据流，提供极低延迟的时事评论。
DeepSeek,2023年11月2日,DeepSeek Coder,1.3B至33B,专门用于编程任务的模型，提供Base和Instruct版本。
xAI,2023年11月3日,Grok-1,314B; MoE (混合专家模型),xAI 的首款模型，设计带有“叛逆性格”，模仿《银河系漫游指南》。
Meta,2023年2月,LLaMA (LLaMA 1),"7B, 13B, 33B, 65B; 基础 Transformer 解码器",开源基础模型，证明了较小参数规模也能达到领先性能。
Meta,2023年2月24日,Llama 1,7B至65B,研究型模型，证明了较小规模参数也能在多项任务中匹配GPT-3的性能。
OpenAI,2023年3月,GPT-4,大型语言模型,比之前模型更强大的大型语言模型。
OpenAI,2023年3月,GPT-4,~1.7T (MoE),在法律和医学等专业考试中表现出色，标志着“前沿”智能的里程碑。
Anthropic,2023年3月,Claude & Claude Instant,未知 / 密集型,采用“宪法AI”方法，强调安全性和可控性，减少越狱风险。
Anthropic,2023年5月,Claude 1.3 (Helpful-only),预训练模型,未经诚实和无害化干预的微调模型。
Google,2023年5月,PaLM 2,密集型,专注于多语言和推理能力，是Google向Gemini过渡期间的主要模型。
智谱 AI,2023年6月,ChatGLM2,6B,专注于中英双语效率的模型。
Meta,2023年7月,LLaMA 2,"7B, 13B, 70B",引入了针对对话优化的 Chat 版本（LLaMA-2-Chat），训练数据更多并增加安全缓解措施。
Anthropic,2023年7月,Claude 2,大型语言模型,Claude 系列的第二代模型。
Anthropic,2023年7月,Claude 2,100k 上下文,实现了大规模上下文处理能力。
Meta,2023年7月18日,Llama 2,"7B, 13B, 70B",首个允许商业使用的开源标准模型，上下文窗口翻倍至4096。
xAI,2023年8月,Grok-0,33B 密集型,xAI的首款产品，旨在了解宇宙的真实本质。
阿里巴巴,2023年8月,Qwen-VL,7B+,具备视觉理解能力的模型。
Anthropic,2024-03-04,Claude 3 (Opus/Sonnet/Haiku),多模态系列,在推理、数学和编码方面设立新标杆，Opus 为顶配性能，Haiku 主打速度。
Meta,2024-04 (Llama 4 推测),Llama 4 Scout / Maverick,MoE 架构 / 10M-1M 上下文,首个原生多模态开源权重模型，支持超长上下文处理。
Meta,2024-10-09,Movie Gen,视频/音频生成模型,支持文本生成视频、角色一致性编辑以及同步音效合成。
智谱 AI,2024-10-25,GLM-4.0 (Voice),端到端语音模型,支持类人交互，可根据用户偏好调整音调、情感或方言。
DeepSeek,2024-12,DeepSeek V3,671B / MoE 架构,极高推理效率，采用稀疏注意力机制，成本远低于西方同类模型。
OpenAI,2024年,GPT-4o / GPT-4o mini,175B; 多模态,能够处理文本、图像、音频和视频的旗舰非推理模型。
Meta,2024年10月17日,Meta Movie Gen,30B (视频) / 13B (音频),文生视频、音频、个性化视频及编辑的全能媒体生成模型。
Meta,2024年12月,LLaMA 3.3,70B,针对多语言对话进行指令微调的模型。
DeepSeek,2024年12月,DeepSeek-V3,671B; 全力版,高性能开源模型，计算成本极具竞争力。
DeepSeek,2024年12月,DeepSeek-V3,671B (MoE),训练成本极低且性能匹配GPT-4o。激活参数仅为37B。
OpenAI,2024年12月12日,OpenAI o1,推理模型 (Reasoning),首款专注于慢速思考和复杂STEM问题解决的模型。
智谱 AI,2024年1月,GLM-4,128k 上下文,具备自主工具调用功能。
Google,2024年2月,Gemini 1.5 Pro,MoE / 1M 上下文,创纪录的长上下文检索能力，可处理数小时视频或海量代码。
Anthropic,2024年3月,"Claude 3 系列 (Opus, Sonnet, Haiku)",多模态模型,引入视觉功能处理图像，Opus 为最强模型，Haiku 最快且成本最低。
xAI,2024年3月,Grok-1.5,MoE,显著提升了数学和编码基准测试成绩。
Anthropic,2024年3月4日,Claude 3 Family,"Haiku, Sonnet, Opus",Opus版本在多项基准测试中超越GPT-4，擅长复杂推理。
MiniMax,2024年4月17日,abab6.5 系列,万亿参数 (MoE),包括abab6.5和更高效的abab6.5s，支持200k上下文。
Meta,2024年4月18日,Llama 3,"8B, 70B",专注于在适度的参数规模下实现顶级性能，支持30多种语言。
阿里巴巴,2024年4月8日,Qwen-VL-Max (2024-04-08 版),Qwen2.5-VL 系列,扩展上下文至 128k，显著增强数学和推理能力。
DeepSeek,2024年5月,DeepSeek-V2,236B (MoE),引入MLA（多头潜在大脑）和MoE技术，极大地提升了推理效率。
OpenAI,2024年5月,GPT-4o,全能型 (Omni),原生多模态模型，支持极低延迟的语音交互和视觉理解。
xAI,2024年5月15日,Grok-1.5,大型语言模型,"增强推理能力，支持 128,000 token 上下文长度。"
阿里巴巴,2024年6月,Qwen2,密集与稀疏 (MoE),在数学和编码任务上表现优异，超越了同期的Llama 3。
Anthropic,2024年6月20日,Claude 3.5 Sonnet,中等规模,虽然是中层模型，但速度是Opus的两倍且性能更强。
Meta,2024年7月23日,Llama 3.1,"8B, 70B, 405B",405B版本是首个能与顶级闭源模型匹敌的开源权重模型。
xAI,2024年8月,Grok-2,128k 上下文,引入Aurora图像生成模型，推理能力跨越式提升。
xAI,2024年8月14日,Grok-2 / Grok-2 mini,多模态基础模型,升级性能与推理，并引入 Flux 驱动的图像生成功能。
阿里巴巴,2024年9月,Qwen2.5,开源系列,包括Coder和Math专项模型，在多个基准测试中名列前茅。
Meta,2024年9月25日,Llama 3.2,"1B, 3B, 11B, 90B",引入视觉功能，并提供专为移动设备设计的超小型版本。
MiniMax,2025-01-09,MiniMax-01,Text-01 (通用) / VL-01 (多模态),开源 LLM 家族，在数学、推理和指令遵循方面表现出色。
DeepSeek,2025-01-20,DeepSeek R1,671B / 推理模型,专注逻辑推理，在数学和编码任务上达到顶级水平。
xAI,2025-02,Grok 3,3T MoE 架构,具有极强的推理能力，号称在多项基准测试中超越当时所有模型。
OpenAI,2025-04-16,OpenAI o3 / o4-mini,推理模型 (o系列),原生支持工具使用的推理模型，擅长复杂 STEM 问题和多步分析。
xAI,2025-07,Grok 4,3T MoE 架构,原生多模态，支持 200 万超长上下文和实时 X 平台数据搜索。
月之暗面,2025-07-11,Kimi K2,万亿参数 MoE,具有卓越的编码和推理能力，支持 12.8 万长上下文。
智谱 AI,2025-07-28,GLM-4.5 / 4.5 Air,355B (A32B) / 106B (A12B),为智能体设计，统一了推理、编码和工具使用能力。
OpenAI,2025-08-07,GPT-5 (Thinking),统一推理模型,具备内置思考能力的旗舰模型，支持 40 万词窗口和全多模态处理。
Google,2025-11,Gemini 3 Pro,旗舰级代理模型,全球领先的多模态理解能力，擅长“氛围编码”和深度交互。
OpenAI,2025-12-11,GPT-5.1,128K-196K 上下文,更智能、更具交际能力的版本，提供无限制的消息访问权限。
智谱 AI,2025年,GLM-4.5 / 4.5-Air,"106B, 355B; MoE",支持推理，专为智能体（Agent）工作流设计。
月之暗面,2025年,Kimi-K2 / K2.5,1T; MoE (混合推理模式),具备优秀的编码和工具调用能力，支持思考与非思考模式。
DeepSeek,2025年,DeepSeek V3.1,671B; 顶级开源模型,DeepSeek 的 GPT-5 等级替代方案，提供更强大的推理特性。
OpenAI,2025年,GPT-5,大型多模态推理模型,结合 GPT-4o 和 o3 特性的旗舰模型，可处理文本、图像、音频和视频。
MiniMax,2025年10月,MiniMax-M2,230B (MoE),仅使用10B激活参数即可达到前沿水平的编程性能。
Anthropic,2025年11月,Claude 4.1 / 4.5 系列,混合推理模型,设计更安全、诚实，Claude 4.5 被视为当前最佳编码模型之一。
Google,2025年11月,Gemini 3,10M 上下文,预览版展示了惊人的1000万上下文管理能力。
xAI,2025年11月17日,Grok 4.1,增强型多模态模型,提升情感智能，减少事实幻觉，专注于创意协作。
OpenAI,2025年12月11日,GPT-5.2,知识工作专业化,优化了表格生成、工具使用及长上下文检索能力。
智谱 AI,2025年12月22日,GLM-4.7,旗舰开源权重,在编程和复杂推理基准测试中超越了GPT-5.2和Claude 4.5。
阿里巴巴,2025年1月,"Qwen2.5 系列 (Max, Plus, Flash)",大型语言模型 (0.5B 至 72B),在 18 万亿 token 数据上预训练，显著提升编码、数学和结构化数据理解能力。
DeepSeek,2025年1月20日,DeepSeek-R1,推理模型 (Reasoning),开源权重的推理模型，性能可与OpenAI的o1媲美。
阿里巴巴,2025年1月29日,Qwen2.5-Max,大规模 MoE,在数学推理基准测试中挑战GPT-4o。
xAI,2025年2月,Grok-3,推理模型 (Reasoning),使用Grok-2十倍算力训练，具备类似于o1的推理能力。
Google,2025年2月,Gemini 2.0 Pro,旗舰多模态,在复杂提示词和代码性能上表现卓越。
OpenAI,2025年2月13日,OpenAI o3-mini,高效推理模型,更具成本效益的推理模型，优化了编程、数学和科学任务。
xAI,2025年2月17日,Grok 3,多模态推理模型,使用 20 万块 GPU 训练，引入“思考”模式处理复杂逻辑。
OpenAI,2025年3月13日,GPT-4.5,大规模密集型,研究预览版，在模式识别和EQ（情商）方面有显著提升。
阿里巴巴,2025年4月,Qwen3 系列,开源及商业模型,支持思考模式，在数学、代码和逻辑推理方面优于同等规模非推理模型。
Meta,2025年4月,LLaMA 4 Scout / Maverick,17B 激活参数; 稀疏 MoE,支持 1000 万 token 超长上下文，Maverick 具备顶级推理和编码性能。
阿里巴巴,2025年4月28日,Qwen3 家族,0.6B至235B (混合架构),原生集成推理能力，支持119种语言和方言。
Meta,2025年4月5日,Llama 4 Maverick / Scout,400B / 109B (MoE),原生多模态，Scout支持创纪录的1000万上下文窗口。
DeepSeek,2025年5月,DeepSeek-R1,685B; 推理模型,通过强化学习显著提升推理能力，对标 OpenAI o 系列。
Anthropic,2025年5月22日,Claude 4 Opus / Sonnet,ASL-3 安全等级,改进了长期任务处理和编码，引入了并行工具执行。
Google,2025年6月,Gemini 2.5,推理模式 (Deep Think),引入原生“深度思考”模式，增强了规划和逻辑推理。
xAI,2025年7月,Grok-4,多智能体系统,具备原生工具使用和多智能体协同模式，用于复杂工程任务。
智谱 AI,2025年7月,GLM-4.5,355B (MoE),针对智能体（Agent）任务设计，可自主规划和执行。
月之暗面,2025年7月,Kimi K2,128k 上下文,在软件工程任务（SWE-Bench）中表现优异。
xAI,2025年7月9日,Grok 4 / Grok 4 Heavy,多模态推理模型,声称在基准测试中超越所有竞争对手，包含原生工具使用和实时搜索。
OpenAI,2025年8月12日,GPT-5,统一推理模型 (Reasoning),具备实时路由能力，自动在快速响应和深度推理间切换。
xAI,2025年8月28日,Grok Code Fast 1,推理模型 (Agentic Coding),擅长代理式编码的快速、经济型推理模型。
阿里巴巴,2025年9月5日,Qwen3-Max,1T+ (MoE),超越了DeepSeek V3.1和Claude 4，在数学竞赛中表现卓越。
DeepSeek,2026-02-17 (预期),DeepSeek V4,700B+ / Engram 架构,针对编码主导权设计，集成 Engram 记忆系统，支持 100 万上下文。
月之暗面,2026年1月,Kimi K2.5,多智能体协作,支持原生多模态，并能协调100个子智能体处理单条提示。
xAI,2026年2月1日,Imagine 1.0,文本转视频模型,具有改进音频质量的视频生成模型。
DeepSeek,2026年2月中旬 (预计),DeepSeek V4,Engram 记忆架构,旨在通过革命性的编码能力处理超长代码库项目。
xAI,2026年Q1 (预测),Grok 5,6T MoE 架构,大规模 AGI 候选模型，旨在发现新物理学和创造工具。